,created_at,original,translated
54,2020-10-01 19:52,"Los candidatos de la gente para construir una Bolivia mejor: Javier Martínez, candidato a Diputado Uninominal por la circunscripción N° 45 - Santa Cruz.

#PrimeroLaGente #MesaPresidente https://t.co/53vP2pFsBj",
55,2020-09-30 22:43,"RT @Opinion_Bolivia: @GpedrazaM , candidato a la vicepresidencia por @ComunidadCBo , estará en Buena Noche de OPINIÓN. La cita es a las 21:…",
56,2020-09-30 22:40,"Los candidatos de la gente para construir una Bolivia mejor: Miguel Ángel Moro, candidato a Diputado Plurinominal por Santa Cruz.

#PrimeroLaGente #MesaPresidente https://t.co/UMnHugmvxd",
57,2020-09-30 20:11,"Los candidatos de la gente para construir una Bolivia mejor: Roberto Márquez y Jenny Aratia, candidatos a Senadores por Tarija.

#PrimeroLaGente #MesaPresidente https://t.co/I1cDPahLZo",
58,2020-09-30 19:55,"RT @carlosdmesag: En aquella entrevista, Quino me regaló un pedacito de su amada Mafalda🙏. 

Se los comparto. https://t.co/wHnty8YODW",
59,2020-09-30 19:55,"RT @carlosdmesag: Se nos ha ido Quino, que iluminó con lucidez nuestra adolescencia con su inmortal Mafalda, que desde el humor puso en evi…",
60,2020-09-30 18:37,"Los candidatos de la gente para construir una Bolivia mejor: Ivanoe Herrera, candidato a Diputado Uninominal por la Circunscripción N° 62 - Pando.

#PrimeroLaGente #MesaPresidente https://t.co/ikz7zr7HzW",
61,2020-09-30 15:13,"Los candidatos de la gente para construir una Bolivia mejor: Marcela Chuve, candidata a Senadora por Santa Cruz.

#PrimeroLaGente #MesaPresidente https://t.co/swyT1jRbJf",
62,2020-09-30 14:40,RT @GpedrazaM: Expreso mis más sentidas condolencias a la familia de Marco Montero quien fue en vida un hombre íntegro y un gran profesiona…,
63,2020-09-30 13:32,"Los candidatos de la gente para construir una Bolivia mejor: Dario Monasterio, candidato a Senador por Santa Cruz.

#PrimeroLaGente #MesaPresidente https://t.co/1JZ3fzca6e",
64,2020-09-30 13:10,"RT @carlosdmesag: Mis sinceras condolencias por el fallecimiento de Marco Montero, jefe de prensa de red UNO, profesional íntegro y excepci…",
65,2020-09-29 23:50,RT @LlamadoBosque: #Comunicado El candidato a vicepresidente por @ComunidadCBo @GpedrazaM explicó su visión en materia de protección al med…,
66,2020-09-29 22:59,"RT @carlosdmesag: #EnVivo conversamos con jóvenes que lastimosamente han perdido su empleo, les compartimos nuestra visión y propuesta 👉 ht…",
67,2020-09-29 22:26,"Los candidatos de la gente para construir una Bolivia mejor: Lucio Cacasaca y Floria Paco, candidatos a Diputados Uninominales por la Circunscripción N° 9 - La Paz.

#PrimeroLaGente #MesaPresidente https://t.co/zgss868307",
68,2020-09-29 18:56,"RT @carlosdmesag: ¡Con todo el corazón! ¡Vamos Bolivia! ¡Hagamos historia este 18 de octubre!
#PrimeroLaGente https://t.co/6n7c9msfFW",
69,2020-09-29 12:55,"Los candidatos de la gente para construir una Bolivia mejor: Andrea Barrientos, candidata a Senadora por Cochabamba.

#PrimeroLaGente #MesaPresidente https://t.co/5DWt693CPv",
70,2020-09-29 00:37,"RT @DemocraciaRuta: Como parte del ciclo de entrevistas coordinadas por La Ruta de la Democracia, a las 19.00 estará en Erbol el candidato…",
71,2020-09-28 19:16,"RT @carlosdmesag: #EntrevistaRedUno 

Evo Morales debe ser juzgado y condenado por el delito de fraude electoral. Soy el único candidato qu…",
72,2020-09-28 17:09,"RT @carlosdmesag: #EntrevistaRedUno 

¿Santa Cruz? 
-El corazón de Bolivia 
¿Always Ready? 
-El equipo del alma. 

#PrimeroLaGente https://…",
73,2020-09-28 13:16,"RT @carlosdmesag: #EntrevistaRedUno 

@GpedrazaM y yo queremos ser presidente y vicepresidente porque tenemos el conocimiento exacto de cuá…",
74,2020-09-28 02:23,"RT @GpedrazaM: Llegó el momento de hacer historia, debemos terminar lo que empezamos. Seremos un gobierno que pondrá #PrimeroLaGente #MesaY…",
75,2020-09-28 01:34,"RT @GpedrazaM: Tenemos la mejor propuesta, capacidad y determinación para construir una #BoliviaMejor. Vamos a derrotar al MAS en las urnas…",
76,2020-09-28 01:34,"RT @carlosdmesag: Me siento muy orgulloso de mi compañero @GpedrazaM, Santa Cruz tendrá a un vicepresidente con credenciales excepcionales…",
77,2020-09-28 00:02,RT @RedUnoBolivia: Uno Decide 2020 - En Vivo https://t.co/2EfBAoQ6fv,
78,2020-09-27 23:20,"RT @GpedrazaM: Tenemos las mejores propuestas en salud, conócelas 👇
Una vez que le ganemos a la pandemia, se pondrá en marcha el tratamient…",
79,2020-09-27 23:20,"RT @carlosdmesag: En nuestro gobierno habrá cero tolerancia a la corrupción: 

✅Transparentaremos cada peso gastado en la lucha contra el c…",
80,2020-09-27 22:33,"RT @carlosdmesag: Conoce nuestro plan para salvar y crear nuevos empleos👇:

✅Apoyo directo a sectores productivos 
✅Créditos a microempresa…",
81,2020-09-27 22:22,"RT @carlosdmesag: Bolivia nos necesita unidos contra el fraude y la corrupción, estamos muy cerca👍. #PrimeroLaGente https://t.co/0fSUst2EUu",
82,2020-09-27 22:21,"RT @carlosdmesag: Tenemos un plan de 4 puntos para enfrentar a la pandemia: 

✅Más personal médico 
✅Equipamiento
✅Pruebas gratuitas
✅Cuand…",
83,2020-09-27 22:15,"RT @GpedrazaM: Con el plan de 4 puntos en salud que proponemos habrá: 
✅Más personal médico 
✅Equipamiento
✅Pruebas gratuitas
✅Cuando la va…",
84,2020-09-27 22:03,"RT @carlosdmesag: ¡No se pueden perder la entrevista de hoy! Los esperamos a las 8pm por 👉 https://t.co/i4Z6K2Hn2V
@RedUnoBolivia 
#MesaYPe…",
85,2020-09-27 14:18,RT @ErbolDigital: Mesa ve que el MAS habla de fraude para “abrir el paraguas” antes de su derrota https://t.co/bnN5GQYiWa,
86,2020-09-26 13:51,"Los candidatos de la gente para construir una Bolivia mejor: Beto Astorga y Rosario Torrez, candidatos a Diputados Uninominales por la Circunscripción N° 6 - La Paz.

#PrimeroLaGente #MesaPresidente https://t.co/zQik7ULH9z",
87,2020-09-26 02:09,"Los candidatos de la gente para construir una Bolivia mejor: Daly Santa María Aguirre, candidata a Senadora por Potosí.

#PrimeroLaGente #MesaPresidente https://t.co/v8BtkZWjLu",
88,2020-09-25 22:39,RT @ricardopazb: Denunciamos la cobarde agresión sufrida por nuestra integrante de @ComunidadCBo Jeaneth Zegales por militantes del @BOmere…,
