text,created_at
No te pierdas esta noche la entrevista de #MesaYPedraza por #RedUNO 👉https://m.facebook.com/RedUnotv/. Ellos garantizan un gobierno que ponga #PrimeroLaGente.,27/9/2020
"Con el plan de 4 puntos en salud que proponen #MesaYPedraza habrá: 
✅Más personal médico 
✅Equipamiento
✅Pruebas gratuitas
✅Cuando la vacuna esté lista, llegará primero a los más necesitados
#PrimeroLaGente",27/9/2020
"#MesaYPedraza tienen las mejores propuestas para salvar empleos: 
✅Apoyo directo a sectores productivos 
✅Créditos a microempresas
✅En empleos públicos se valorará el mérito y no el color político.
#PrimeroLaGente",27/9/2020
"Cero tolerancia a la corrupción es el compromiso de #MesaYPedraza, por ello:
✅Transparentarán cada peso gastado en la lucha contra el coronavirus
✅Pondrán cámaras anticorrupción policial
#PrimeroLaGente",27/9/2020
"#EnVivo Carlos D. Mesa Gisbert y Gustavo Pedraza Merida en entrevista para ""UNO DECIDE 2020"".
#PrimeroLaGente #MesaYPedraza #MesaPresidente",27/9/2020
"Bolivia sufre una triple crisis: salud, desempleo y corrupción; y para enfrentarla necesitamos a una dupla capaz y congruente como #MesaYPedraza.  #PrimeroLaGente",27/9/2020
"Terminemos lo que empezamos, derrotemos al MAS en las urnas, votemos por #MesaYPedraza para tener un gobierno que ponga #PrimeroLaGente.",27/9/2020
"#EnVivo Gustavo Pedraza Merida en entrevista para ""Como En La Radio"".
#PrimeroLaGente #MesaPresidente",28/9/2020
"Los candidatos de la gente para construir una Bolivia mejor: Nely Gallo y Javier Martínez, Candidatos a Senadores por Tarija.
#PrimeroLaGente #MesaPresidente",28/9/2020
"Hoy a las 10:00, Carlos D. Mesa Gisbert estará en conferencia de prensa.
Síguelo por 👉🏼:
https://www.facebook.com/carlosdmesag/
#PrimeroLaGente #MesaPresidente",28/9/2020
"Los candidatos de la gente para construir una Bolivia mejor: Carlos Tiburcio, Candidato a Senador por Pando.
#PrimeroLaGente #MesaPresidente",28/9/2020
#EnVivo Carlos D. Mesa Gisbert en Cochabamba.,28/9/2020
"La guerra sucia contra Carlos Mesa y Comunidad Ciudadana no se detiene. Los guerreros digitales han manipulado una parte de la entrevista de Carlos Mesa en Red UNO, cambiando el audio para generar confusión.",28/9/2020
VIDEO VERDADERO de la entrevista de Carlos D. Mesa Gisbert en Red UNO.,28/9/2020
"Los candidatos de la gente para construir una Bolivia mejor: Georgina Montalván, Candidata a Diputada Uninominal por la Circunscripción N° 45 - Santa Cruz.
#PrimeroLaGente #MesaPresidente",28/9/2020
"Los candidatos de la gente para construir una Bolivia mejor: Pablo Arizaga, Candidato a Diputado Uninominal por la Circunscripción N° 1 - Chuquisaca.
#PrimeroLaGente #MesaPresidente",28/9/2020
"Hoy a las 22:20, Gustavo Pedraza Merida en entrevista para ""Que No Me Pierda"" de Red UNO.
Sigue la entrevista por 👉🏼:
https://www.facebook.com/RedUnotv/",28/9/2020
"#EnVivo Carlos D. Mesa Gisbert en entrevista para Erbol Radio 100.9 FM.
#PrimeroLaGente #MesaPresidente",28/9/2020
"#EnVivo Gustavo Pedraza Merida en entrevista para ""La Región"".
#PrimeroLaGente #MesaPresidente",2020-09-28
"#EnVivo Gustavo Pedraza Merida en entrevista para ""Que No Me Pierda"" de Red UNO.
#PrimeroLaGente #MesaPresidente",2020-09-28
"Los candidatos de la gente para construir una Bolivia mejor: Toribia Lero, Candidata a Diputada Plurinominal por Cochabamba.
#PrimeroLaGente #MesaPresidente",2020-09-29
"#EnVivo Gustavo Pedraza Merida en conferencia de prensa.
#PrimeroLaGente #MesaPresidente",2020-09-29
"Los candidatos de la gente para construir una Bolivia mejor: Antonio Carvalho, Candidato a Diputado Plurinominal por Santa Cruz.
#PrimeroLaGente #MesaPresidente",2020-09-29
"#EnVivo Gustavo Pedraza Merida en conferencia de prensa.
#PrimeroLaGente #MesaPresidente",2020-09-29
"Los candidatos de la gente para construir una Bolivia mejor: Antonio Carvalho, Candidato a Diputado Plurinominal por Santa Cruz.
#PrimeroLaGente #MesaPresidente",2020-09-29
