text,created_at
"🎵La Paz siempre con el MAS ✊🏽
Gran caminata por los distritos 6 y 7 de la ciudad de La Paz y gran concentración en Villa Copacabana. #SomosMillones #SomosMAS",2020-10-03
"El candidato a presidente por el MAS, Lucho Arce, presentó los tres pilares de su propuesta de gobierno: reconstrucción económica, salud y educación. En lo que refiere a la salud, una de las prioridades será el combate contra el coronavirus, en el cual el actual gobierno transitorio ha tenido un desempeño ineficiente.",2020-10-03
"🎶El cielo cada vez MAS azul ✊🏽
Gran Concentración en el Mercado Campesino Santa Rosa de la ciudad de El Alto, recibe a nuestro candidato David Choquehuanca.",2020-10-03
"¡Estamos En Vivo! 
Desde el Instituto Tecnológico de San Roque en el #Distrito7, junto a nuestro hermano Andrónico Rodríguez y #EvaCopa.",2020-10-03
"Esta noche todxs con Lucho Arce ✊🏽
#YoLucho
#DebatePresidencial",2020-10-03
"Esta noche todxs con Lucho Arce ✊🏽
#YoLucho
#DebatePresidencial",2020-10-03
#LuchoPresidente ✊🏽,2020-10-03
¡Lucho ganó el Debate! ✊🏽,2020-10-03
"""Gracias a mi hija e hijos por acompañarme al #DebatePresidencial, ustedes son mi fortaleza. Gracias a quienes nos siguieron y apoyaron desde sus hogares. Felicidades a FAM BOLIVIA , Confederación Universitaria Boliviana y a los medios de comunicación que generaron este espacio. Comprometidos con #Bolivia, con diálogo y con propuestas, #VamosASalirAdelante"".
Lucho Arce",2020-10-03
"El binomio del Movimiento Al Socialismo (MAS), Lucho Arce - David Choquehuanca, sostuvo un conversatorio con los representantes de las provincias de Cochabamba con el objetivo de lograr propuestas destinadas a fortalecer la producción agrícola de esa región y consolidar la seguridad alimentaria que fue olvidada por el actual gobierno transitorio.",2020-10-04
Nuestro candidato a senador Andrónico Rodríguez visitó a nuestrxs hermanxs canillitas de la ciudad de La Paz. ✊🏽,2020-10-04
"📢🗞️Extra... Extra... Volverá la Estabilidad ✊🏽
Nuestros hermanxs Canillitas de la ciudad de La Paz respaldan el retorno de la estabilidad económica, política y social. Agradecen a Andrónico Rodríguez por visitarles y acordarse.",2020-10-04
Nos solidaridarizamos con nuestro compañero Luis Adolfo Flores y toda su familia por la triste pérdida de su hermano Edgar Flores Roberts. Nuestro apoyo en estos difíciles momentos.,2020-10-04
"🎵MAS... MAS... MAS... ✊🏽
Desde el Mar Mediterráneo, nuestrxs hermanxs  en Barcelona expresan su respaldo a nuestro binomio Lucho Arce y David Choquehuanca",2020-10-04
#SomosCultura #SomosMAS,2020-10-04
