,created_at,original,translated
69,2020-10-03 12:42,"La Justicia de Bolivia levantó el secreto militar y la Comisión que investiga las 32 muertes ocurridas en las represiones de Senkata, Sacaba y Yapacaní indagará a las Fuerzas Armadas para conocer su responsabilidad en los trágicos hechos.

https://t.co/tR7Ipsmg04",
70,2020-10-03 00:45,"RT @LuchoXBolivia: Muy fortalecidos por el respaldo masivo de #Punata. El 18 de octubre, con el voto de todas y todos, recuperaremos la dem…",
71,2020-10-03 00:45,"RT @LaramaDavid: Vamos a recuperar la paz, la tranquilidad y la estabilidad, tenemos al hermano @LuchoXBolivia el mejor economista de #Boli…",
72,2020-10-03 00:45,"RT @LaramaDavid: Nuestro Proceso es para que vuelva la unidad y para desterrar el racismo y el odio.

La última palabra la tiene el pueblo…",
73,2020-10-03 00:45,RT @LuchoXBolivia: Multitudinaria concentración de mis hermanas y hermanos en #Quillacollo. Unidos proclamamos nuestra victoria el 18 de oc…,
74,2020-10-03 00:45,"RT @LaramaDavid: Hemos avanzado mucho, iniciamos solo con 4 diputados, pero crecimos, logramos gobernar y cambiamos #Bolivia, hoy estamos m…",
75,2020-10-03 00:44,"RT @LuchoXBolivia: ¡Gracias Morochata!
Muy fortalecidos por el recibimiento y el cariño de nuestras hermanas y hermanos de la región andina…",
76,2020-10-03 00:44,"RT @evoespueblo: El MAS-IPSP está conformado por sus militantes, por los movimientos sociales, pueblos indígenas, jóvenes y profesionales c…",
77,2020-10-03 00:44,"RT @LaramaDavid: Con el cariño y la fuerza de nuestro pueblo, junto al hermano @LuchoXBolivia, iniciamos nuestra gran caravana en Morochata…",
78,2020-10-03 00:44,"RT @LuchoXBolivia: A partir de este encuentro, confirmamos que con nuestro plan de gobierno responderemos la necesidad de las provincias de…",
79,2020-10-03 00:44,RT @LuchoXBolivia: Estamos en un conversatorio con juventudes y representantes de las 16 provincias de #Cochabamba. Analizamos las demandas…,
80,2020-10-03 00:44,RT @evoespueblo: El programa de Tarjeta Joven de @LuchoXBolivia para quienes tengan entre 16 y 30 años traerá innumerables beneficios: desc…,
81,2020-10-02 13:54,"El presidente de la Confederación Universitaria Boliviana, Max Mendoza, denunció la grave situación que atraviesan las universidades públicas. “Las proyecciones de las once universidades nos mostraban que íbamos a llegar a septiembre con números rojos”.

https://t.co/u2IFTNGGYg",
82,2020-10-01 23:38,"RT @LuchoXBolivia: EN INSTANTES estaremos conversando en @TvUnivalle 
¡Acompáñennos!
🔴 En vivo: https://t.co/wtLc0vFDty https://t.co/4wU4f1…",
