text,created_at
"¿Listos? En unos minutos más estaremos en vivo. 
#PrimeroLaGente",2020-10-13
"Comunidad Ciudadana tiene programa y visión de Estado para construir una Bolivia mejor, mucho mucho mejor. 
Pido tu voto 🗳 para hacerlo posible y para cerrarle la puerta al pasado. ¿Evo de nuevo? #NeverInTheLife",2020-10-13
"Que Arce no se haga el distraído tiene mucho que explicar y que Evo no se haga ilusiones, si vuelve a Bolivia será para rendir cuentas por sus actos. 
¡Estamos a un paso de cerrar la faena! ¡Vamos con todo! 🙌",2020-10-13
Tenemos que ir a votar con convicción en el corazón porque nos estamos jugando el futuro de #Bolivia. ¡Vota 🗳con toda la esperanza! ¡Este 18 de octubre tenemos una cita con la historia!,2020-10-13
Los espero a las 11:00 horas en “Sin Compostura” por 👉 https://www.facebook.com/Maritima-FM-1009-1568350650085955/,2020-10-14
#EnVivo,2020-10-14
#EnVivo con Carlos Valverde,2020-10-14
#EnVivo,2020-10-14
"😃Faltan 4 días para derrotarlos en las urnas y para dar inicio a la transformación de Bolivia. 
#PrimeroLaGente",2020-10-14
"Quiero constuir una Bolivia mejor donde primero estén ustedes, la gente; la gente que construye, trabaja y quiere un futuro mejor. 
¡Gracias por la confianza, no voy a defraudarlos! #PrimeroLaGente",2020-10-14
Este domingo tenemos la cita más importante de nuestra historia reciente. ¡No faltes! ¡Vamos Bolivia!,2020-10-14
#Envivo,2020-10-14
