text,created_at
"Es tradición pasar por Oruro y tomar el delicioso api orureño. Felices de visitar a nuestras hermanas del Mercado Fermín López que siempre nos atienden con tanto cariño. Después del api estamos listos para seguir con el recorrido por la capital folklórica de #Bolivia.
.
.
.
.
.
.
.
.
.
#luis#arce#luchoarce @laramadavid #oruro #api #apiorureño #masipsp #elecciones #elecciones2020 #bolivia",2020-09-27
"Estamos en #Oruro gratamente sorprendidos por la multitudinaria movilización de nuestras hermanas y hermanos orureños. Reactivaremos los proyectos que fueron paralizados y fomentaremos el turismo interno para la capital folklórica de #Bolivia. #VamosASalirAdelante
.
.
.
.
.
.
.
.
#LuchoArce #LuisArce #masipsp #bolivia #elecciones2020 #capitalfolklorica #oruro",2020-09-27
"El poder de tus brazos Oruro!
Responderemos a su cariño y confianza con mucho trabajo para reactivar la economía orureña. Con su voto, el 18 de octubre recuperaremos la patria para el pueblo.

Fomentaremos la minería, turismo y producción de camélidos. #VamosASalirAdelante
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #bolivia #elecciones2020 #oruro #luchoxbolivia",2020-09-27
"Muy agradecidos mis hermanas y hermanos de #Oruro, nos llenaron de fuerza y cariño.
Nos han pedido que recuperemos la patria y con su apoyo cumpliremos ese mandato. ¡Hasta la victoria!
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #oruro #bolivia #elecciones2020 #luchoxbolivia",2020-09-27
"Increíble recibimiento de nuestras hermanas y hermanos mineros en el histórico centro minero #Huanuni.
¡Gracias!
.
.
.
.
.
.
.
.#luchoarce #luisarce #masipsp #bolivia #mineros #mineras #elecciones2020",2020-09-27
"¡Huanuni, vanguardia de nuestra soberanía!
Emotiva visita a nuestras hermanas y hermanos aguerridos de #Huanuni. Con @LaramaDavid estamos más convencidos que nunca de defender nuestras riquezas naturales. Gracias por su fortaleza, lucharemos siempre por nuestra soberanía.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #laramadavid #bolivia #huanuni #mineria #soberaniaeconomica #riquezasnaturales #recursosnaturales",2020-09-27
"Vamos a recuperar nuestra patria.

“Para el pueblo lo que es del pueblo, porque el pueblo se lo ganó”
Unidos vamos a recuperar nuestra Patria para todas y todos los bolivianos. Hasta la victoria de octubre #VamosASalirAdelante
.
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #paraelpuebloloqueesdelpueblo #piero #huanuni #mina #mineria #recursosnaturales #soberaniaeconomica #democracia #libertad",2020-09-27
"En el Día Mundial del Turismo ratificamos nuestro compromiso de trabajar por un sector fundamental para dinamizar la demanda interna en #Bolivia. Tenemos la seguridad que con las medidas adecuadas reviviremos el sector y #VamosASalirAdelante
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #turismo #bolivia #elecciones2020",2020-09-27
"Lucho Arce: cantar con esperanza

🎸🎶 “Nadie le pondrá murallas a nuestra verdad” 🎸🎶
.
.
.
.
.
.
.
.
.
#LuchoArce #Luisarce #Masipsp #bolivia #Elecciones2020 #cantar #musica #protesta",2020-09-28
"¡Llegamos a la Chura Tarija!
Emocionado por tan lindo recibimiento. Gracias mis hermanas y hermanos. Tenemos mucho que hacer para reactivar la economía y el desarrollo de esta hermosa tierra. Unidos #VamosASalirAdelante
.
.
.
.
.
.
.
.
#LuchoArce #luisarce #tarija #elecciones2020 #bolivia #masipsp",2020-09-28
